Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:35:20,000;0
19:35:20,031;0
19:35:20,062;0
19:35:20,094;0
19:35:20,125;0
19:35:20,156;0
19:35:20,187;0
19:35:20,219;0
19:35:20,250;-30
19:35:20,281;-14
19:35:20,312;-13
19:35:20,344;-12
19:35:20,375;-11
19:35:20,406;-9
19:35:20,437;-7
19:35:20,469;-4
19:35:20,500;-2
19:35:20,531;1
19:35:20,562;4
19:35:20,594;7
19:35:20,625;10
19:35:20,656;12
19:35:20,687;15
19:35:20,719;18
19:35:20,750;20
19:35:20,781;22
19:35:20,812;24
19:35:20,844;25
19:35:20,875;27
19:35:20,906;28
19:35:20,938;29
19:35:20,969;29
19:35:21,000;30
19:35:21,031;30
19:35:21,062;30
19:35:21,094;31
19:35:21,125;31
19:35:21,156;32
19:35:21,188;32
19:35:21,219;33
19:35:21,250;34
19:35:21,281;36
19:35:21,312;37
19:35:21,344;39
19:35:21,375;41
19:35:21,406;44
19:35:21,437;46
19:35:21,469;49
19:35:21,500;51
19:35:21,531;54
19:35:21,562;57
19:35:21,594;59
19:35:21,625;62
19:35:21,656;64
19:35:21,687;66
19:35:21,719;68
19:35:21,750;69
19:35:21,781;70
19:35:21,812;71
19:35:21,844;71
19:35:21,875;72
19:35:21,906;71
19:35:21,937;71
19:35:21,969;70
19:35:22,000;69
19:35:22,031;68
19:35:22,062;66
19:35:22,094;65
19:35:22,125;64
19:35:22,156;62
19:35:22,187;61
19:35:22,219;60
19:35:22,250;59
19:35:22,281;58
19:35:22,312;57
19:35:22,344;57
19:35:22,375;56
19:35:22,406;56
19:35:22,438;56
19:35:22,469;56
19:35:22,500;55
19:35:22,531;55
19:35:22,562;55
19:35:22,594;55
19:35:22,625;55
19:35:22,656;54
19:35:22,688;54
19:35:22,719;53
19:35:22,750;52
19:35:22,781;51
19:35:22,812;50
19:35:22,844;48
19:35:22,875;46
19:35:22,906;45
